INDEX,elevation,lake_area,lake_capacity,lake_depth,lake_elongation,lake_perimeter,watershed_area,lake_exposition,watershed_roughness,watershed_buildup,watershed_agriculture,watershed_forest,watershed_marshes,VISIBILITY
BER,137.16,85.86,9019.22,11.13,4.14,6874.1,567.83,8.16,10.37,0,88.59,0.64,16.77,4.03
BIAB,125.62,75.85,4803.54,6.11,3.56,5335,212.29,12.03,5.06,0,62.84,0,34.16,3.7
BIAW,121.35,92.18,12138.02,12.14,2.3,4692,329.26,6.99,8.94,0,0,65.46,26.54,5.48
BLIZ,153.3,44.62,2813.36,7.25,0.02,3507.5,566.03,7.13,3.13,7.27,27.5,71.77,8.47,2.92
BRO,142.74,52.18,3507.54,7.84,1.8,3510,1846.34,7.84,7.5,0,0,113.67,3.33,3.98
BROŻ,138.75,66.27,2657.67,4.44,1.66,3330,641.27,16.54,13.56,4.95,60.89,34.05,11.11,0.98
DŁUG,150.2,111.62,8359.65,8.18,6.54,7957,800.15,14.93,7.74,0,91.01,3.65,14.34,5.98
DMI,131.44,59.36,6282.3,10.28,2.61,4850,167.88,5.63,3.32,0,55.26,0,41.74,3.76
DOBR,97.25,88.56,10234.17,9.43,1.71,4202.5,1458.94,7.71,9.12,1.69,45.73,29.73,4.85,1.5
DBRZ,161.88,57.34,3947.93,7.75,2.69,4047,334.08,8.44,13.59,0,88.14,4.01,21.85,1.69
EŁC,118.8,378.58,56846.1,14.85,1.13,18463.5,6085.1,25.25,8.86,23.83,37.65,30.16,7.35,1.36
GIER,121.22,68.4,4514.4,6.27,3.28,4311.1,328.04,10.36,4.4,9.44,58.57,7.59,19.4,1.78
GIL,113,186.26,12947.26,7.66,2.6,7881,1095.53,26.97,9.43,1.81,27.01,64.77,17.41,2.69
GREM,116.59,167.41,7907.83,4.18,2.75,9122.5,3774.46,35.6,5.55,1.23,69.37,14.16,4.25,1.87
HOŁ,110.04,132.8,7754.38,4.87,3.46,8295,2544.67,22.93,5.38,0,58,20.07,5.94,1.21
JAŁ,211.02,21.91,1489.81,7.41,2.42,1907.5,110.44,3.27,5.48,0,109,0,0,2.98
JEM,212.9,60.56,4534.47,7.73,3.23,5562,871.14,8.03,9.47,0,93.66,2.15,7.19,2.93
KAM,158.5,25.25,1713.39,6.73,2.24,2277,432.88,3.76,37.28,0,25.93,66.84,6.23,2.5
KIER,53.26,17.22,1188.18,5.8,2.55,1957.2,159.36,2.52,5.71,0,63.03,8.9,12.07,0.94
KRSZ,113.25,136.71,16663.78,11.22,8.07,8257,1675.92,11.22,17.61,0.99,62.34,21.21,7.46,0.85
KOP,155.56,12.62,920.9,6.35,2.35,1740,117.11,1.74,12.85,0,87,0,0,1.63
KRZ,170.88,164.7,14122.33,10.23,7.24,13447,9835.52,19.16,30.04,3.3,90.8,22.69,2.22,2.38
KUK,122.32,112.82,6531.45,5.1,2.42,7436,771.47,19.45,10.74,0,49.05,24.04,14.91,0.54
LEM,95.78,64.62,3788.4,4.84,1.47,3095.5,1202.06,10.99,6.19,4.72,45.72,27.85,3.71,0.81
LES,137.18,21.84,785.51,3.74,3.2,2548,293.81,6.03,8.9,0.74,87.46,7.85,7.95,1.87
LIN,109.44,156.86,10145.09,6.14,1.65,6816,5854.58,24.48,11.74,21.01,34.94,37.7,2.35,1.22
MAŁ,116.03,17.18,1047.54,5.06,1.34,1826,972.42,2.82,4.93,0,56.6,24.63,1.77,0.71
MIER,216.05,212.13,14244.05,7.5,4.78,12600,2175.48,31.7,11.35,1.29,85.87,11.43,13.41,3.09
MLE,115.24,64.86,3363.32,4.89,1.81,3572,911.3,12.5,15.24,1.98,57.83,27.81,6.38,1.44
MOR,112.22,77.88,7114.1,10.86,4.89,5428,2747.26,8.5,22.98,7.12,85.15,22.51,3.22,1.18
OLEM,119.04,176.64,18189.76,8.24,4.35,9680,7611.17,17.12,6.31,5.22,59.06,13.93,1.8,0.93
ORŁO,116.56,107.82,8174.24,7.05,4.6,7294.4,870.89,14.38,13.48,2.56,57.33,21.8,12.31,2.54
PŁA,91.04,45.44,2282.8,4,1.14,2240,175.92,9.12,2.43,0,0,59.26,20.74,3.04
POBŁ,229.23,49.14,2997.54,5.49,1.86,4387.5,307.46,8.1,4.82,0,47.1,24.91,17.99,2.79
POM,99.31,239.27,20477.21,6.97,2.74,9963,3875.83,27.78,5.51,3.87,56.6,15.79,4.74,1.17
POZ,86.51,36.69,2749.46,6.08,3.06,2895.75,685.45,4.86,5.9,3.01,49.09,23.2,5.71,0.7
PRZE,222.43,83.43,7087.55,10.15,4.94,6372,2386.11,9.68,16.23,0,103.37,10.58,4.05,2.48
RUS,104.3,48.7,2990.5,6.1,1.92,3300,653.08,8,7.36,2.2,7.02,83.13,7.65,4.56
RYDZ,74.88,441.27,27843.21,5.58,1.5,12285,2835.69,71.19,15.6,0.93,44.41,30.42,14.24,1.91
RYN,110.85,21.67,1030.88,4.13,1.53,2752,121.13,4.56,6.38,0,66.87,0,19.13,2.32
SAR,110.4,175.68,12067.58,6.62,2.9,8976,12622.32,25.44,16.26,4.52,35.12,54.52,1.84,1.87
SAS,117.75,60.12,4013.76,7.46,2.39,4887.25,1012.99,9.15,7.13,0,102.53,4.27,6.2,0.89
SEJ,143.14,82.18,4001.95,4.61,4.76,7176,2677.13,17.09,8.02,0.97,87.31,4.75,2.97,1.5
SIEK,154.57,25.67,1540.08,5.58,5.26,2969.49,126.97,4.28,4.62,0,3.5,89.5,0,4.28
SIL,80.36,98.07,5843.16,4.84,0.99,3608,521.11,16.65,11.36,0,67.05,0,14.95,0.81
SKA,99.63,41.39,2400.68,4.7,1.39,3645,187.57,7.13,6.77,14.16,29.57,19.58,17.69,1.38
SKB,196.12,26.9,1487.15,6.49,1.77,2419,758.88,4.84,12.95,0,118,0,0,1.3
