pietro,izby,powierzchnia,zadrzewienie,autostrada,przemysł,centrum,jezioro,lasy,tramwaj,policja,szkola,cena,zainter
0,4,65.1,13.44,3153.811,63.63961,7366.526,1384.377,538.5629,472.705,2996.068,1324.84,4531.49,FALSE
3,2,32.7,21.56,8452.07227,134.3503,2818.24414,1601.85046,1471.20703,96.04687,1860.02686,289.87067,1972.32,TRUE
0,3,40.98,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,2037.58,TRUE
3,2,49.53,0.48,11763.63574,207.00241,5615.26953,5416.94092,236.48466,2214.45825,2338.56787,182.48288,5471.43,FALSE
4,3,81.4,21.72,4384.955,169.1892,2375.395,3475.809,2024.846,317.5689,1301.768,65,3482.8,TRUE
2,3,52.4,11.48,6120,46.09772,2993.59741,1480.54041,1296.91943,195.25624,1014.16223,235,4293.89,TRUE
2,3,35.9,0.68,6405.412,120.8305,502.0209,2208.308,2297.243,98.23441,365.3081,332.8663,5710.31,FALSE
2,3,46.79,0.04,11821.25781,168.07736,5669.87207,5477.19385,182.00275,2214.6106,2324.90869,192.35384,5343.02,FALSE
1,3,47.3,1.72,4011.795,105,3996.079,2067.873,1562.122,609.2618,1053.114,450.6939,6342.49,FALSE
8,3,46.8,15.16,9312.382,783.3422,3160.396,3036.647,1409.69,284.6928,1882.956,386.0052,2649.57,TRUE
1,2,44.8,4.92,3406.11938,86.31339,3572.68115,2460.18799,857.35059,186.01076,1544.03687,245.45876,4241.08,TRUE
0,3,40.98,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,2037.58,TRUE
7,3,37.6,23.24,8565.28125,22.36068,3032.65552,1502.10681,1375,319.45267,2007.6416,172.04651,5438.83,FALSE
4,4,47.9,31.24,3490,35,4048.336,1900.217,983.4887,385.7784,1446.453,517.2282,4488.52,FALSE
1,4,120.7,17.32,3790.162,25,3573.084,2375.526,1205.093,302.3243,1105.181,55,5799.5,FALSE
2,5,125,13.84,6254.81592,136.565,2117.5752,1585.47314,1131.86792,265.7066,401.6217,228.96506,6360,FALSE
0,3,44.06,5,1756.659,322.8003,4481.677,2648.556,125.2996,714.1779,2126.646,329.7347,4664.09,FALSE
1,3,54.74,6.8,7915.722,406.9705,2230.387,1643.046,1326.848,443.4242,1304.655,70.71068,4384.36,TRUE
1,2,35.7,7.28,12324.64,474.6051,6298.317,4762.877,216.9101,140,612.8825,403.1129,7002.8,FALSE
