date,watertemp,sealv,precip,temp,vwind,dwind,sin,cos,precip1,precip2,precip3,precip4,precip5,precipsum,meantemp,raise,waterlv
2008-09-28,12.49,479.33,0.9,13.15,7.75,255,-0.965925826289068,-0.258819045102521,0,0,0,0,0,0,11.116,FALSE,62.59
2008-09-29,12.47,493,5.7,10.96,6.13,240,-0.866025403784438,-0.5,0.9,0,0,0,0,0.9,11.32,FALSE,61.62
2008-09-30,12.44,492,2.4,10.29,6.13,207.5,-0.461748613235034,-0.887010833178222,5.7,0.9,0,0,0,6.6,11.34,FALSE,61.48
2008-10-01,12.42,493.5,9.6,11.06,9.25,213.75,-0.555570233019602,-0.831469612302545,2.4,5.7,0.9,0,0,9,11.388,TRUE,61.23
2008-10-02,12.4,497.83,0,10.3,11.38,220,-0.642787609686539,-0.766044443118978,9.6,2.4,5.7,0.9,0,18.6,11.692,TRUE,61.33
2008-10-03,12.39,506.17,0.2,9.19,7,211.25,-0.518773258160522,-0.854911870672946,0,9.6,2.4,5.7,0.9,18.6,11.152,TRUE,63.72
2008-10-04,12.37,506.5,0,8.95,6.38,225,-0.707106781186547,-0.707106781186548,0.2,0,9.6,2.4,5.7,17.9,10.36,TRUE,65.63
2008-10-05,12.35,483.67,0.5,8.83,7.88,198.75,-0.321439465303161,-0.946930129495106,0,0.2,0,9.6,2.4,12.2,9.958,TRUE,66.91
2008-10-06,12.33,504.67,0,9.7,3.13,237.5,-0.843391445812885,-0.537299608346824,0.5,0,0.2,0,9.6,10.3,9.666,FALSE,67.23
2008-10-07,12.3,513.67,0,6.55,1.88,162.5,0.300705799504273,-0.953716950748227,0,0.5,0,0.2,0,0.7,9.394,TRUE,67.23
2008-10-08,12.27,511.83,0,7.81,1.5,128.75,0.779884483092882,-0.625923472184059,0,0,0.5,0,0.2,0.7,8.644,FALSE,67.47
2008-10-09,12.25,508.67,0.4,9.65,3.38,200,-0.342020143325669,-0.939692620785908,0,0,0,0.5,0,0.5,8.368,FALSE,66.82
2008-10-10,12.22,510,0,11.63,5.38,243.75,-0.896872741532688,-0.442288690219001,0.4,0,0,0,0.5,0.9,8.508,TRUE,66.12
2008-10-11,12.19,497.5,0,13.06,6.25,230,-0.766044443118978,-0.642787609686539,0,0.4,0,0,0,0.4,9.068,FALSE,66.33
2008-10-12,12.15,512.83,3.2,12.43,6.63,252.5,-0.953716950748227,-0.300705799504273,0,0,0.4,0,0,0.4,9.74,TRUE,66.28
2008-10-13,12.12,509.83,0.1,13.03,5.63,222.5,-0.67559020761566,-0.737277336810124,3.2,0,0,0.4,0,3.6,10.916,TRUE,66.53
2008-10-14,12.09,516.5,0,13.24,7.13,252.5,-0.953716950748227,-0.300705799504273,0.1,3.2,0,0,0.4,3.7,11.96,TRUE,66.68
2008-10-15,12.05,517.17,1.8,10.44,3.38,208.75,-0.480988768919387,-0.876726755707508,0,0.1,3.2,0,0,3.3,12.678,TRUE,66.88
2008-10-16,12.02,514.83,3.5,11.49,6.88,221.25,-0.659345815100069,-0.751839807478978,1.8,0,0.1,3.2,0,5.1,12.44,TRUE,67.31
2008-10-17,12,539.5,5.8,9.05,5.25,275,-0.996194698091746,0.087155742747658,3.5,1.8,0,0.1,3.2,8.6,12.126,TRUE,67.56
2008-10-18,11.97,529.67,0.4,9.7,6.75,240,-0.866025403784438,-0.5,5.8,3.5,1.8,0,0.1,11.2,11.45,TRUE,68.15
2008-10-19,11.95,524,1.5,10.85,8.88,251.25,-0.946930129495106,-0.321439465303162,0.4,5.8,3.5,1.8,0,11.5,10.784,TRUE,70.08
2008-10-20,11.93,525.33,0,11.31,5.75,210,-0.5,-0.866025403784439,1.5,0.4,5.8,3.5,1.8,13,10.306,TRUE,71.7
2008-10-21,11.91,511.67,4.7,12.18,5,206.25,-0.442288690219001,-0.896872741532688,0,1.5,0.4,5.8,3.5,11.2,10.48,TRUE,73.06
