"GISJOIN","county_code","FIPS","YEAR","STATE","STATEA","COUNTY","COUNTYA","NAME","RUCC_2013","election_votes_dem","election_votes_gop","election_total_votes","election_per_dem","election_per_gop","race_white","race_black","race_hispanic","sex_female","age_0_17","age_over65","ind_divorce","marriage_never_married","lang_second_eng","empl_civilian_unemployed","ind_agriculture","income_median","public_asist","gini_index","transp_car","transp_public","pov_under_1","insured_under65","house_vacant","housevalue_median","POP16dens","MEDIAN_INCOME08_16","POP08_16","edu_high","housevalue_IQR"
"G0100010",1001,1001,"2012-2016","Alabama",1,"Autauga County",1,"Autauga County, Alabama",2,5908,18110,24661,0.239568549532,0.734357893029,0.756834819887736,0.183709059201802,0.0257225381024178,0.511762248178895,0.251648531308471,0.139784555577758,0.196470773593824,0.248933111207467,0.0417788461538462,0.0336439408128863,0.0121177149451818,53099,0.133557692307692,0.4295,0.959056867747511,0.000781828656077689,0.122660170702224,0.896520791952329,0.0842652108831558,141000,35.1670128066469,-0.0125341714243208,0.00840813335775775,0.245927713486535,136300
"G0100030",1003,1003,"2012-2016","Alabama",1,"Baldwin County",3,"Baldwin County, Alabama",3,18409,72780,94090,0.195653098098,0.773514719949,0.831787880306752,0.0922560272668037,0.0436669841110721,0.511949275725528,0.221893639416571,0.187148513858954,0.231375310132099,0.246486002294605,0.0694886159496467,0.0367246617301202,0.0144496484450674,51365,0.0957697374549229,0.4608,0.922743598656007,0.00214343645000579,0.129937957689178,0.856273346928339,0.301452885786259,173400,47.2263429776764,0.0129964895673096,0.0888738497811446,0.295471110285396,157800
"G0100050",1005,1005,"2012-2016","Alabama",1,"Barbour County",5,"Barbour County, Alabama",6,4848,5431,10390,0.466602502406,0.522714148219,0.458856241076125,0.478883294506651,0.0430976177951454,0.464980837153378,0.215488088975727,0.165288945667694,0.281971947194719,0.345558608058608,0.0607322955492217,0.0616036505867014,0.0452574224396753,33956,0.256522692392019,0.462,0.944665831720369,0.00387111465330753,0.263736728564782,0.842386281959133,0.227080155905779,90300,11.3604737130573,0.0648185894822666,-0.0311259965779606,0.128677870234405,116300
"G0100070",1007,1007,"2012-2016","Alabama",1,"Bibb County",7,"Bibb County, Alabama",1,1874,6733,8748,0.214220393233,0.769661636946,0.747651958178274,0.212121212121212,0.0222399432925749,0.464646464646465,0.210703526493,0.148856990962254,0.231937951551211,0.296369460758142,0.023694665153235,0.0347642733564014,0.0391429255446493,39776,0.154937570942111,0.4494,0.963164251207729,0.00483091787439614,0.16453914478474,0.892982557135456,0.214444939812751,97200,13.918126491426,0.080165109711058,-0.00865211471737884,0.12,112300
"G0100090",1009,1009,"2012-2016","Alabama",1,"Blount County",9,"Blount County, Alabama",1,2150,22808,25384,0.0846990230066,0.89851875197,0.876577013725218,0.0155795092194649,0.0872729793428532,0.504852349923749,0.235702897546097,0.171929155691113,0.182036266139843,0.19809028151143,0.0689170182841069,0.0297128697806855,0.0287593201500486,46212,0.117318977641981,0.4165,0.962529274004684,0.00173302107728337,0.165344401828403,0.867668382893769,0.135471698113208,124200,34.2432789613078,0.0225703664365374,0.00414157936867018,0.13049756789623,119800
"G0100110",1011,1011,"2012-2016","Alabama",1,"Bullock County",11,"Bullock County, Alabama",6,3530,1139,4701,0.750904062965,0.242288874708,0.21683093252464,0.755022744503412,0.00123199393479909,0.458017437452616,0.215504169825625,0.151345716451857,0.382614647501711,0.450311994453432,0.0452755905511811,0.0746460746460746,0.127455678006708,29335,0.213723284589426,0.4701,0.887875150060024,0.00360144057623049,0.268662596021272,0.804897770590274,0.203047960555805,68000,6.51714456177885,-0.149710144927536,-0.0210594674830689,0.10255011591436,90100
"G0100130",1013,1013,"2012-2016","Alabama",1,"Butler County",13,"Butler County, Alabama",6,3716,4891,8685,0.427864133564,0.563154864709,0.527810650887574,0.435157790927022,0.0124753451676529,0.530473372781065,0.233382642998028,0.181262327416174,0.246382583300146,0.333719865730851,0.0320521172638437,0.0527230950754518,0.0372599231754161,34315,0.216416938110749,0.4588,0.964243921466649,0,0.256595084346999,0.856908693540554,0.225842243292314,83000,10.0659948061849,0.115862382934443,-0.0217076700434154,0.160800057351781,107400
"G0100150",1015,1015,"2012-2016","Alabama",1,"Calhoun County",15,"Calhoun County, Alabama",3,13197,32803,47376,0.278558763931,0.692396994259,0.729977649870991,0.203317138838311,0.0343622446778216,0.518980350871137,0.221266277193376,0.159307232294642,0.264244037260723,0.274428164857173,0.045483792238912,0.0666959851548338,0.0105296745373325,41954,0.194515320272459,0.4543,0.946350197611197,0.00222722012358888,0.196423817552578,0.871646436352319,0.15480253534861,107900,73.0747742169006,0.0464170802883296,-0.0165571906240983,0.176529665272498,105700
"G0100170",1017,1017,"2012-2016","Alabama",1,"Chambers County",17,"Chambers County, Alabama",6,5763,7803,13778,0.418275511685,0.566337639715,0.567434887412546,0.404785701687342,0.00435063789758363,0.520871303427597,0.21409253924393,0.18387324357693,0.271138960560265,0.285729571637479,0.0132120424518085,0.0413783055292489,0.015323212885753,36027,0.179770413688542,0.4734,0.965910732341471,0.00245558283980933,0.203116138853237,0.855864667101355,0.180656610470275,83000,21.7776944119197,0.119511513004568,-0.00613532780179966,0.12484279366144,96000
"G0100190",1019,1019,"2012-2016","Alabama",1,"Cherokee County",19,"Cherokee County, Alabama",6,1524,8809,10503,0.1451013996,0.838712748738,0.918716453643279,0.0460671120206974,0.0156388770900104,0.502529250492335,0.20566088736147,0.203228173147469,0.181489253925754,0.169342117472395,0.0207291571961088,0.0298381024096386,0.019621308741293,38925,0.168560778252568,0.4464,0.966941318327974,0.00542604501607717,0.164461024936187,0.882932539876104,0.323554735547355,112500,16.665433238842,0.0740597665627328,-0.00077169425473622,0.139616989408366,127800
